Paper,Link,ExtractDatetime
metro,https://metro.co.uk/2020/01/20/world-health-organisation-decide-deadly-coronavirus-international-emergency-12091379/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/01/21/symptoms-wuhan-coronavirus-can-catch-12093187/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/01/22/uk-start-preparing-killer-coronavirus-deadly-disease-spreads-us-12099632/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/01/22/vaccine-coronavirus-can-cure-12102680/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/01/23/coronavirus-related-swine-flu-12108415/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/01/23/is-coronavirus-in-the-uk-12111898/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/01/24/us-warned-virus-escape-lab-near-coronavirus-epicentre-12114591/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/01/26/chilling-footage-shows-ghost-city-ground-zero-coronavirus-outbreak-12126006/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/01/27/many-people-uk-coronavirus-symptoms-12130377/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/01/28/coronavirus-lungs-affects-body-12136009/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/01/30/coronavirus-declared-global-emergency-world-health-organisation-12156174/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/01/30/italy-confirms-first-two-cases-coronavirus-passengers-allowed-off-cruise-12156547/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/01/31/coronavirus-arrives-uk-two-people-test-positive-deadly-disease-12136884/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/01/31/happens-uk-coronavirus-patients-deadly-disease-confirmed-12159695/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/02/12/coronavirus-reaches-london-chinese-national-becomes-first-diagnosed-capital-12229567/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/02/13/coronavirus-experts-dont-know-fast-spread-tube-12232331/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/02/14/london-coronavirus-patient-went-conference-250-people-12238180/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/02/15/coronavirus-claim-400000-uk-lives-warns-british-expert-12245830/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/02/15/deadly-coronavirus-now-arrived-africa-12244395/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/02/20/us-scientists-claim-found-coronavirus-vaccine-12276215/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/02/25/conspiracy-theorists-facebook-youtube-blaming-coronavirus-5g-no-evidence-12300961/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/02/27/pope-francis-falls-day-supporting-people-coronavirus-12314029/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/02/27/two-people-test-positive-coronavirus-uk-12311947/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/02/28/cases-emerge-people-catching-coronavirus-twice-12319394/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/02/28/coronavirus-uk-answers-top-questions-covid-19-current-death-toll-symptoms-12313152/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/02/coronavirus-now-confirmed-every-country-western-europe-12333208/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/02/morocco-reports-first-coronavirus-case-man-returns-italy-12336885/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/03/coronavirus-can-survive-phone-week-12339296/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/04/deal-coronavirus-panic-health-anxiety-12344957/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/04/face-mask-ads-banned-misleading-coronavirus-claims-12344412/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/04/number-uk-cases-coronavirus-jumps-85-34-new-cases-12346595/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/05/join-fight-coronavirus-using-nothing-computer-12353412/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/06/many-people-uk-coronavirus-many-died-12358160/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/10/sore-throat-sign-coronavirus-12374844/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/03/11/chancellor-delivers-budget-2020-amid-coronavirus-backdrop-12381255/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/12/coronavirus-delay-phase-will-mean-uk-12385575/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/12/many-cases-coronavirus-safe-travel-12387665/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/12/uk-travel-advice-countries-travel-bans-coronavirus-outbreak-12385713/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/13/cope-coronavirus-anxiety-12392249/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/14/anxiety-can-produce-symptoms-make-think-coronavirus-12398381/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/14/british-scientists-brink-finding-coronavirus-vaccine-12396552/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/14/world-health-organisation-questions-uk-coronavirus-approach-12397312/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/15/another-14-people-die-24-hours-number-uk-coronavirus-cases-hits-1372-12400661/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/15/can-help-others-struggling-coronavirus-pandemic-12399843/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/15/coronavirus-uk-symptoms-look-12400401/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/15/police-arrest-coronavirus-patients-ignoring-quarantine-12400302/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/15/woman-family-quarantined-italy-poses-naked-face-masks-urge-everyone-safe-12400455/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/16/18-people-die-coronavirus-uk-bringing-death-toll-53-12405540/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/16/firm-refuses-give-blueprint-coronavirus-equipment-save-lives-12403815/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/16/keri-hilson-blaming-5g-coronavirus-pandemic-12407583/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/17/coronavirus-live-updates-schools-travel-pay-self-isolation-12406630/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/03/18/people-ignore-coronavirus-warnings-party-pubs-st-patricks-day-12415338/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/19/coronavirus-treatment-set-clinical-trials-uk-12423508/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/19/coronavirus-uk-key-workers-classed-one-12423958/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/19/first-british-patient-put-randomised-trial-coronavirus-treatment-12426512/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/19/gargling-salt-water-vinegar-not-kill-coronavirus-throat-12421597/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/19/number-uk-coronavirus-cases-jumps-643-24-hours-3269-12424214/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/19/post-carry-coronavirus-need-follow-rule-mail-12422678/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/20/africa-hit-extremely-rapid-evolution-coronavirus-pandemic-12429031/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/20/find-jobs-coronavirus-crisis-12430403/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/20/patients-health-conditions-recover-coronavirus-say-experts-12428447/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/21/5000-people-tested-positive-coronavirus-uk-12436607/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/21/coronavirus-uk-dont-sex-unless-live-together-says-expert-12435557/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/22/coronavirus-uk-risk-groups-stay-home-12-weeks-12439478/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/22/fit-healthy-nurse-36-critically-coronavirus-birmingham-2-12440312/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/22/uk-coronavirus-death-toll-reaches-281-dozens-die-24-hours-12438307/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/23/mps-approve-emergency-bill-fight-coronavirus-outbreak-12445970/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/23/spains-coronavirus-death-toll-tops-2000-462-die-12441908/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/03/23/wars-must-stop-fight-coronavirus-pandemic-speeds-across-globe-12444982/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/24/coronavirus-may-already-infected-half-uk-population-12451012/,2020-04-06 14:22:28.420921
metro,https://metro.co.uk/2020/03/24/coronavirus-uk-lockdown-shops-can-stay-open-12446352/,2020-04-06 14:22:27.749206
